input_hex,input_dec,output_hex,output_dec
0x0000,0,0x0000,0
0x0001,1,0xB803,47107
0x0002,2,0x7007,28679
0x0003,3,0xA5C3,42435
0x0004,4,0xE00E,57358
0x0005,5,0x4510,17680
0x0006,6,0x4B87,19335
0x0007,7,0x628C,25228
0x0008,8,0xC01D,49181
0x0009,9,0xAD61,44385
0x000A,10,0x8A20,35360
0x000B,11,0x068E,1678
0x000C,12,0x970E,38670
0x000D,13,0x581C,22556
0x000E,14,0xC518,50456
0x000F,15,0x9B64,39780
0x0010,16,0x803B,32827
0x0011,17,0x5151,20817
0x0012,18,0x5AC3,23235
0x0013,19,0x7CC7,31943
0x0014,20,0x1441,5185
0x0015,21,0x4A5B,19035
0x0016,22,0x0D1C,3356
0x0017,23,0x7340,29504
0x0018,24,0x2E1D,11805
0x0019,25,0x9F71,40817
0x001A,26,0xB038,45112
0x001B,27,0xDC76,56438
0x001C,28,0x8A31,35377
0x001D,29,0x0167,359
0x001E,30,0x36C9,14025
0x001F,31,0x3146,12614
0x0020,32,0x0077,119
0x0021,33,0x35AC,13740
0x0022,34,0xA2A2,41634
0x0023,35,0xB964,47460
0x0024,36,0xB586,46470
0x0025,37,0xEA04,59908
0x0026,38,0xF98E,63886
0x0027,39,0x40EA,16618
0x0028,40,0x2882,10370
0x0029,41,0x7205,29189
0x002A,42,0x94B6,38070
0x002B,43,0x0761,1889
0x002C,44,0x1A38,6712
0x002D,45,0x4DB2,19890
0x002E,46,0xE680,59008
0x002F,47,0xF4D6,62678
0x0030,48,0x5C3A,23610
0x0031,49,0x9D26,40230
0x0032,50,0x3EE3,16099
0x0033,51,0xB7B7,47031
0x0034,52,0x6071,24689
0x0035,53,0x1B82,7042
0x0036,54,0xB8ED,47341
0x0037,55,0x0BB0,2992
0x0038,56,0x1463,5219
0x0039,57,0x2570,9584
0x003A,58,0x02CE,718
0x003B,59,0x7403,29699
0x003C,60,0x6D92,28050
0x003D,61,0xCBDA,52186
0x003E,62,0x628C,25228
0x003F,63,0x0198,408
0x0040,64,0x00EE,238
0x0041,65,0x71DB,29147
0x0042,66,0x6B58,27480
0x0043,67,0xB759,46937
0x0044,68,0x4545,17733
0x0045,69,0xC3E1,50145
0x0046,70,0x72C9,29385
0x0047,71,0x8A13,35347
0x0048,72,0x6B0D,27405
0x0049,73,0x7007,28679
0x004A,74,0xD409,54281
0x004B,75,0x2DD2,11730
0x004C,76,0xF31D,62237
0x004D,77,0xA2C4,41668
0x004E,78,0x81D4,33236
0x004F,79,0xA684,42628
0x0050,80,0x5104,20740
0x0051,81,0xF870,63600
0x0052,82,0xE40A,58378
0x0053,83,0x76BA,30394
0x0054,84,0x296D,10605
0x0055,85,0x8282,33410
0x0056,86,0x0EC2,3778
0x0057,87,0xB43C,46140
0x0058,88,0x3470,13424
0x0059,89,0x1A29,6697
0x005A,90,0x9B64,39780
0x005B,91,0x2266,8806
0x005C,92,0xCD01,52481
0x005D,93,0x0022,34
0x005E,94,0xE9AD,59821
0x005F,95,0xF1A4,61860
0x0060,96,0xB874,47220
0x0061,97,0x5DB3,23987
0x0062,98,0x3A4D,14925
0x0063,99,0xDB8E,56206
0x0064,100,0x7DC6,32198
0x0065,101,0xBADC,47836
0x0066,102,0x6F6F,28527
0x0067,103,0xE76F,59247
0x0068,104,0xC0E2,49378
0x0069,105,0x7689,30345
0x006A,106,0x3704,14084
0x006B,107,0x00EE,238
0x006C,108,0x71DB,29147
0x006D,109,0x3223,12835
0x006E,110,0x1760,5984
0x006F,111,0x87B4,34740
0x0070,112,0x28C6,10438
0x0071,113,0x390A,14602
0x0072,114,0x4AE0,19168
0x0073,115,0xCFED,53229
0x0074,116,0x059C,1436
0x0075,117,0x169E,5790
0x0076,118,0xE806,59398
0x0077,119,0x9292,37522
0x0078,120,0xDB24,56100
0x0079,121,0x2CA4,11428
0x007A,122,0x97B5,38837
0x007B,123,0x5BC2,23490
0x007C,124,0xC518,50456
0x007D,125,0xE4B1,58545
0x007E,126,0x0330,816
0x007F,127,0xDB06,56070
0x0080,128,0x01DC,476
0x0081,129,0xC3A5,50085
0x0082,130,0xE3B6,58294
0x0083,131,0x691E,26910
0x0084,132,0xD6B0,54960
0x0085,133,0xD9FB,55803
0x0086,134,0x6EB3,28339
0x0087,135,0xEF10,61200
0x0088,136,0x8A8A,35466
0x0089,137,0x4206,16902
0x008A,138,0x87C3,34755
0x008B,139,0x1F79,8057
0x008C,140,0xE592,58770
0x008D,141,0xEEBB,61115
0x008E,142,0x1427,5159
0x008F,143,0x3D79,15737
0x0090,144,0xD61A,54810
0x0091,145,0x4260,16992
0x0092,146,0xE00E,57358
0x0093,147,0xBC16,48150
0x0094,148,0xA813,43027
0x0095,149,0xEB8D,60301
0x0096,150,0x5BA4,23460
0x0097,151,0x0347,839
0x0098,152,0xE63B,58939
0x0099,153,0xC0C0,49344
0x009A,154,0x4589,17801
0x009B,155,0xDCAB,56491
0x009C,156,0x03A9,937
0x009D,157,0xBB66,47974
0x009E,158,0x4D09,19721
0x009F,159,0x7CB0,31920
0x00A0,160,0xA208,41480
0x00A1,161,0x9BDF,39903
0x00A2,162,0xF0E1,61665
0x00A3,163,0x37AE,14254
0x00A4,164,0xC815,51221
0x00A5,165,0xB24D,45645
0x00A6,166,0xED74,60788
0x00A7,167,0xB8CF,47311
0x00A8,168,0x52DA,21210
0x00A9,169,0xC75E,51038
0x00AA,170,0x0505,1285
0x00AB,171,0x780F,30735
0x00AC,172,0x1D84,7556
0x00AD,173,0x22CC,8908
0x00AE,174,0x6879,26745
0x00AF,175,0x86D3,34515
0x00B0,176,0x68E0,26848
0x00B1,177,0xD77D,55165
0x00B2,178,0x3452,13394
0x00B3,179,0x1CC1,7361
0x00B4,180,0x36C9,14025
0x00B5,181,0xD10C,53516
0x00B6,182,0x44CC,17612
0x00B7,183,0x6655,26197
0x00B8,184,0x9A03,39427
0x00B9,185,0xB759,46937
0x00BA,186,0x0044,68
0x00BB,187,0x9898,39064
0x00BC,188,0xD35B,54107
0x00BD,189,0xFCCF,64719
0x00BE,190,0xE349,58185
0x00BF,191,0x3928,14632
0x00C0,192,0x70E9,28905
0x00C1,193,0x259E,9630
0x00C2,194,0xBB66,47974
0x00C3,195,0x38C7,14535
0x00C4,196,0x749A,29850
0x00C5,197,0x75EC,30188
0x00C6,198,0xB71D,46877
0x00C7,199,0x196E,6510
0x00C8,200,0xFB8C,64396
0x00C9,201,0x83D6,33750
0x00CA,202,0x75B9,30137
0x00CB,203,0xFCB8,64696
0x00CC,204,0xDEDE,57054
0x00CD,205,0x3388,13192
0x00CE,206,0xCEDF,52959
0x00CF,207,0x6DA1,28065
0x00D0,208,0x81C5,33221
0x00D1,209,0x27BE,10174
0x00D2,210,0xED12,60690
0x00D3,211,0x4FC7,20423
0x00D4,212,0x6E08,28168
0x00D5,213,0x07BC,1980
0x00D6,214,0x01DC,476
0x00D7,215,0xA5F0,42480
0x00D8,216,0xE3B6,58294
0x00D9,217,0x53BD,21437
0x00DA,218,0x6446,25670
0x00DB,219,0x7BB7,31671
0x00DC,220,0x2EC0,11968
0x00DD,221,0x9191,37265
