mask,mask_int,trial,mask_size,trials_param,total_data,zero_sum_count_mask,zero_sum_count_random,prob_zero_sum_mask,prob_zero_sum_random
0003,3,1,2,16384,65536,6,1,0.0003662109375,6.103515625e-05
0003,3,2,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,3,2,16384,65536,7,0,0.00042724609375,0.0
0003,3,4,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,5,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,6,2,16384,65536,6,0,0.0003662109375,0.0
0003,3,7,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,8,2,16384,65536,1,0,6.103515625e-05,0.0
0003,3,9,2,16384,65536,7,1,0.00042724609375,6.103515625e-05
0003,3,10,2,16384,65536,8,1,0.00048828125,6.103515625e-05
0003,3,11,2,16384,65536,7,0,0.00042724609375,0.0
0003,3,12,2,16384,65536,6,0,0.0003662109375,0.0
0003,3,13,2,16384,65536,4,0,0.000244140625,0.0
0003,3,14,2,16384,65536,5,2,0.00030517578125,0.0001220703125
0003,3,15,2,16384,65536,6,0,0.0003662109375,0.0
0003,3,16,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,17,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,18,2,16384,65536,2,1,0.0001220703125,6.103515625e-05
0003,3,19,2,16384,65536,4,0,0.000244140625,0.0
0003,3,20,2,16384,65536,4,0,0.000244140625,0.0
0003,3,21,2,16384,65536,4,1,0.000244140625,6.103515625e-05
0003,3,22,2,16384,65536,1,1,6.103515625e-05,6.103515625e-05
0003,3,23,2,16384,65536,4,0,0.000244140625,0.0
0003,3,24,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,25,2,16384,65536,8,0,0.00048828125,0.0
0003,3,26,2,16384,65536,0,0,0.0,0.0
0003,3,27,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,28,2,16384,65536,4,0,0.000244140625,0.0
0003,3,29,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,30,2,16384,65536,6,0,0.0003662109375,0.0
0003,3,31,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,32,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,33,2,16384,65536,4,0,0.000244140625,0.0
0003,3,34,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,35,2,16384,65536,4,0,0.000244140625,0.0
0003,3,36,2,16384,65536,1,1,6.103515625e-05,6.103515625e-05
0003,3,37,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,38,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,39,2,16384,65536,5,0,0.00030517578125,0.0
0003,3,40,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,41,2,16384,65536,2,1,0.0001220703125,6.103515625e-05
0003,3,42,2,16384,65536,4,0,0.000244140625,0.0
0003,3,43,2,16384,65536,6,0,0.0003662109375,0.0
0003,3,44,2,16384,65536,2,0,0.0001220703125,0.0
0003,3,45,2,16384,65536,5,2,0.00030517578125,0.0001220703125
0003,3,46,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,47,2,16384,65536,4,0,0.000244140625,0.0
0003,3,48,2,16384,65536,6,1,0.0003662109375,6.103515625e-05
0003,3,49,2,16384,65536,1,0,6.103515625e-05,0.0
0003,3,50,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,51,2,16384,65536,3,0,0.00018310546875,0.0
0003,3,52,2,16384,65536,4,0,0.000244140625,0.0
0003,3,53,2,16384,65536,8,0,0.00048828125,0.0
0003,3,54,2,16384,65536,4,0,0.000244140625,0.0
0003,3,55,2,16384,65536,3,0,0.00018310546875,0.0
